link,title,OG price,DC price,Composition,GSM,Colour
https://www.bonkerscorner.com/product/orange-oversized-t-shirt/,Orange Oversized T-shirt,₹949.00,₹649.00,100% premium cotton,180,
https://www.bonkerscorner.com/product/no-drug-oversized-t-shirt/,No Drug Oversized T-shirt,₹949.00,₹649.00,100% premium cotton,180,
https://www.bonkerscorner.com/product/blaze-oversized-t-shirt/,Blaze Oversized T-shirt,₹899.00,₹599.00,100% premium cotton,180,
https://www.bonkerscorner.com/product/lilac-bermuda-shorts/,Lilac Bermuda Shorts,₹999.00,₹699.00,60% cotton 40% Polyester,280,
https://www.bonkerscorner.com/product/black-bermuda-shorts/,Black Bermuda Shorts,₹999.00,₹699.00,60% cotton 40% Polyester,280,
https://www.bonkerscorner.com/product/charcoal-bermuda-shorts/,Charcoal Bermuda Shorts,₹999.00,₹699.00,60% cotton 40% Polyester,280,
https://www.bonkerscorner.com/product/i-hate-everyone-oversized-t-shirt-2/,I Hate Everyone Oversized T-shirt,₹899.00,₹599.00,100% premium cotton,180,
https://www.bonkerscorner.com/product/humans-arent-real-oversized-tshirt/,Humans Aren’t Real Oversized Tshirt,₹999.00,₹699.00,100% cotton,180,
https://www.bonkerscorner.com/product/you-are-just-like-maths-oversized-t-shirt-2/,You Are Just Like Maths Oversized T-shirt,₹999.00,₹599.00,100% premium cotton,180,
https://www.bonkerscorner.com/product/hot-pink-bermunda-shorts/,Hot Pink Bermuda Shorts,₹999.00,₹699.00,60% cotton 40% Polyester,280,
https://www.bonkerscorner.com/product/game-on-oversized-t-shirt-2/,Game On Oversized T-Shirt,₹899.00,₹599.00,100% cotton,180,
https://www.bonkerscorner.com/product/game-on-oversized-t-shirt-2/,Game On Oversized T-Shirt,₹899.00,₹599.00,100% cotton,180,
https://www.bonkerscorner.com/product/green-plaid-flannel-oversized-shirt-2/,Green Plaid Flannel Oversized Shirt,₹1699.00,"₹1,199.00",100%  cotton,200,
https://www.bonkerscorner.com/product/main-character-oversized-t-shirt-2/,Main Character Oversized T-Shirt,₹899.00,₹599.00,100% cotton,180,
https://www.bonkerscorner.com/product/bonkers-futuristic-oversized-t-shirt/,Bonkers Futuristic Oversized T-Shirt,₹899.00,₹599.00,100% cotton,180,
https://www.bonkerscorner.com/product/beige-plaid-flannel-oversized-shirt-2/,Beige Plaid Flannel Oversized Shirt,₹1699.00,"₹1,199.00",100%  cotton,200,
https://www.bonkerscorner.com/product/dark-navy-blue-checkered-plaid-oversized-shirt/,Dark Navy Blue Checkered Plaid Oversized Shirt,₹1699.00,"₹1,199.00",100% cotton,200,
https://www.bonkerscorner.com/product/moon-child-oversized-t-shirt/,Moon Child Oversized T-Shirt,₹899.00,₹599.00,100% cotton,180,
https://www.bonkerscorner.com/product/mind-games-oversized-t-shirt/,Mind Games Oversized T-Shirt,₹899.00,₹599.00,100% cotton,180,
https://www.bonkerscorner.com/product/orange-wingman-oversized-t-shirt/,Orange Wingman Oversized T-Shirt,₹899.00,₹599.00,100% cotton,180,
https://www.bonkerscorner.com/product/black-heavyweight-oversized-t-shirt/,Black Heavyweight Oversized T-shirt,₹699.00,₹499.00,100% premium cotton,220,
https://www.bonkerscorner.com/product/stop-wars-oversized-t-shirt/,Stop Wars Oversized T-Shirt,₹899.00,₹599.00,100% cotton,180,
https://www.bonkerscorner.com/product/black-wingman-oversized-t-shirt/,Black Wingman Oversized T-Shirt,₹899.00,₹599.00,100% cotton,180,
https://www.bonkerscorner.com/product/pack-of-10-self-love-sticker-set/,Pack Of 10 Self Love Sticker Set,₹200,₹100.00,,,
https://www.bonkerscorner.com/product/coco-stripes-heavyweight-oversized-t-shirt/,Coco Stripes Heavyweight Oversized T-shirt,₹899.00,₹599.00,100% Cotton,210,
https://www.bonkerscorner.com/product/nob-head-oversized-heavyweight-sweatshirt-2/,Nob Head Oversized Heavyweight Sweatshirt,₹1599.00,"₹1,099.00",60% cotton 40% polyester,400,
https://www.bonkerscorner.com/product/basic-hot-pink-oversized-heavyweight-sweatshirt-2/,Basic Hot Pink Oversized Heavyweight Sweatshirt,₹1499.00,₹999.00,80% cotton 20% polyester,300,
https://www.bonkerscorner.com/product/travis-scott-faded-effect-heavyweight-sweatshirt-2/,Travis Scott Faded Effect Heavyweight Sweatshirt,₹1599.00,"₹1,199.00",100% premium cotton,320,
https://www.bonkerscorner.com/product/maroon-utility-straight-fit-pants-2/,Maroon Utility Straight Fit Pants,₹1699.00,"₹1,299.00",60% cotton 40% Polyester,320,
https://www.bonkerscorner.com/product/mens-black-ribbed-relaxed-fit-t-shirt/,Mens Black Ribbed Relaxed Fit T-shirt,₹799.00,₹499.00,97% cotton 3% spandex,240,
https://www.bonkerscorner.com/product/mood-swings-sweatshirt-2/,Mood Swings Heavyweight Sweatshirt,₹1599.00,"₹1,099.00",60% cotton 40% polyester,400,
https://www.bonkerscorner.com/product/basic-peach-oversized-heavyweight-sweatshirt/,Basic Peach Oversized Heavyweight Sweatshirt,₹1499.00,₹999.00,60% cotton 40% polyester,400,
